SampleID,Height,del13Ctoc,Strat,Section,Reference
HinB1,0,-27.8,Pre-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
HinB2,32,-26.8,Pre-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
HinB3,60,-28.6,Pre-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
HinB4,229,-27.1,Pre-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Hin1,230,-26.2,Pre-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Hin2,235,-29.1,Pre-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Hin3,240,-30.1,Pre-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Hin4,242,-31,Pre-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Hin5,245,-30,Pre-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Hin6,252,-28.8,Pre-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Hin7,259,-28.7,Pre-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Hin8,266,-25.4,Schattwald Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Hin9,273,-25.6,Schattwald Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Hin10,280,-25.4,Schattwald Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Hin11,283,-25.2,Schattwald Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Hin12,301,-24.7,Schattwald Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Hin13,319,-24.7,Schattwald Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Hin14,337,-25.1,Schattwald Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Hin15,355,-24.8,Schattwald Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Hin16,373,-25.3,Schattwald Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Hin17,433,-24.7,Schattwald Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Hin18,533,-24.7,Schattwald Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
