SampleID,Height,del13Ctoc,Strat,Section,Reference
kb 1,0,-30.8,Pre-event Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 2,5,-32.6,Pre-event Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 3,10,-32.5,Pre-event Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 4,15,-29.2,Pre-event Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 5,20,-28.0,Pre-event Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 6,25,-27.0,Pre-event Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 7,32,-26.5,Schattwald Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 8,33,-26.6,Schattwald Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 9,40,-26.4,Schattwald Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 10,45,-26.1,Schattwald Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 11,50,-26.5,Schattwald Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 12,55,-26.5,Schattwald Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 14,65,-26.4,Schattwald Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 15,70,-26.8,Schattwald Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 16,80,-26.0,Schattwald Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 17,90,-25.7,Schattwald Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 18,100,-26.4,Schattwald Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 19,110,-25.8,Schattwald Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 20,120,-25.9,Schattwald Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 21,130,-25.7,Schattwald Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 22,140,-25.7,Schattwald Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 23,150,-25.9,Schattwald Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 24,160,-25.9,Schattwald Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 25,170,-25.7,Schattwald Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 26,190,-25.9,Schattwald Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 27,215,-25.9,Schattwald Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
kb 28,235,-26.3,Schattwald Beds,Kendlbachgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
