SampleID,Height,del13Ctoc,Strat,Section,Reference
RTK 8,-1000.0,-25.2,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RTK 7,-735.5,-25.0,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RTK 6,-698.0,-25.1,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RTK 5,-583.0,-27.3,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RTK 4,-543.0,-27.5,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RTK 3,-298.0,-26.4,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RTK 2,-218.0,-27.5,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RTK 1,-114.0,-25.9,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 1,-1.5,-30.3,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 2 gem,2.0,-29.2,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 2a,5.5,-31.0,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 3,8.0,-32.1,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 4,10.5,-32.2,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 5,13.3,-30.9,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 6 gem,15.3,-27.7,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 7,23.0,-27.1,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 8,33.0,-26.8,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 9,45.0,-26.4,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 10,57.0,-26.3,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 11,72.0,-26.0,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 12,82.0,-26.3,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 13,97.0,-26.1,Pre-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 14,110.0,-25.4,Schattwald Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 15,125.0,-25.1,Schattwald Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 16,128.0,-25.0,Schattwald Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 17,158.0,-25.0,Schattwald Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 18,208.0,-24.7,Schattwald Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 19,318.0,-24.7,Schattwald Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 20,408.0,-24.3,Schattwald Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 21,518.0,-24.2,Schattwald Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 22,668.0,-24.1,Schattwald Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 23,868.0,-24.1,Schattwald Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 24,878.0,-25.7,Schattwald Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 25,998.0,-25.9,Post-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 26,1138.0,-24.9,Post-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 27,1248.0,-25.2,Post-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 28,1278.0,-25.6,Post-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 29,1298.0,-24.9,Post-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 30,1318.0,-24.5,Post-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 31,1518.0,-24.5,Post-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 32,1583.0,-24.5,Post-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
RT 33,1683.0,-24.5,Post-event Beds,Restentalgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
