Sample,Height,del13Ctoc,Strat,Section,Reference
SCH,299.0,-25.0,Psilonotenton Formation,Schandelah,"van de Schootbrugge B, Richoz S, Pross J, Luppold F, Hunze S, Wonik T, Blau J, Meister C, Weijst C van der, Suan G, Fraguas A, Fiebig J, Herrle J, Guex J, Little C, Wignall P, Püttmann W, Oschmann W (in press) The Schandelah Scientific Drilling Project: A 25-million year record of Early Jurassic palaeo-environmental change from northern Germany. Newsletters on Stratigraphy"
SCH,300.0,-25.9,Psilonotenton Formation,Schandelah,"van de Schootbrugge B, Richoz S, Pross J, Luppold F, Hunze S, Wonik T, Blau J, Meister C, Weijst C van der, Suan G, Fraguas A, Fiebig J, Herrle J, Guex J, Little C, Wignall P, Püttmann W, Oschmann W (in press) The Schandelah Scientific Drilling Project: A 25-million year record of Early Jurassic palaeo-environmental change from northern Germany. Newsletters on Stratigraphy"
SCH,300.5,-26.0,Psilonotenton Formation,Schandelah,"van de Schootbrugge B, Richoz S, Pross J, Luppold F, Hunze S, Wonik T, Blau J, Meister C, Weijst C van der, Suan G, Fraguas A, Fiebig J, Herrle J, Guex J, Little C, Wignall P, Püttmann W, Oschmann W (in press) The Schandelah Scientific Drilling Project: A 25-million year record of Early Jurassic palaeo-environmental change from northern Germany. Newsletters on Stratigraphy"
SCH,301.0,-26.0,Psilonotenton Formation,Schandelah,"van de Schootbrugge B, Richoz S, Pross J, Luppold F, Hunze S, Wonik T, Blau J, Meister C, Weijst C van der, Suan G, Fraguas A, Fiebig J, Herrle J, Guex J, Little C, Wignall P, Püttmann W, Oschmann W (in press) The Schandelah Scientific Drilling Project: A 25-million year record of Early Jurassic palaeo-environmental change from northern Germany. Newsletters on Stratigraphy"
SCH,301.5,-25.9,Psilonotenton Formation,Schandelah,"van de Schootbrugge B, Richoz S, Pross J, Luppold F, Hunze S, Wonik T, Blau J, Meister C, Weijst C van der, Suan G, Fraguas A, Fiebig J, Herrle J, Guex J, Little C, Wignall P, Püttmann W, Oschmann W (in press) The Schandelah Scientific Drilling Project: A 25-million year record of Early Jurassic palaeo-environmental change from northern Germany. Newsletters on Stratigraphy"
SCH,302.0,-25.8,Psilonotenton Formation,Schandelah,"van de Schootbrugge B, Richoz S, Pross J, Luppold F, Hunze S, Wonik T, Blau J, Meister C, Weijst C van der, Suan G, Fraguas A, Fiebig J, Herrle J, Guex J, Little C, Wignall P, Püttmann W, Oschmann W (in press) The Schandelah Scientific Drilling Project: A 25-million year record of Early Jurassic palaeo-environmental change from northern Germany. Newsletters on Stratigraphy"
SCH,302.0,-25.9,Psilonotenton Formation,Schandelah,"van de Schootbrugge B, Richoz S, Pross J, Luppold F, Hunze S, Wonik T, Blau J, Meister C, Weijst C van der, Suan G, Fraguas A, Fiebig J, Herrle J, Guex J, Little C, Wignall P, Püttmann W, Oschmann W (in press) The Schandelah Scientific Drilling Project: A 25-million year record of Early Jurassic palaeo-environmental change from northern Germany. Newsletters on Stratigraphy"
SCH,302.5,-25.9,Psilonotenton Formation,Schandelah,"van de Schootbrugge B, Richoz S, Pross J, Luppold F, Hunze S, Wonik T, Blau J, Meister C, Weijst C van der, Suan G, Fraguas A, Fiebig J, Herrle J, Guex J, Little C, Wignall P, Püttmann W, Oschmann W (in press) The Schandelah Scientific Drilling Project: A 25-million year record of Early Jurassic palaeo-environmental change from northern Germany. Newsletters on Stratigraphy"
SCH,303.0,-26.0,Psilonotenton Formation,Schandelah,"van de Schootbrugge B, Richoz S, Pross J, Luppold F, Hunze S, Wonik T, Blau J, Meister C, Weijst C van der, Suan G, Fraguas A, Fiebig J, Herrle J, Guex J, Little C, Wignall P, Püttmann W, Oschmann W (in press) The Schandelah Scientific Drilling Project: A 25-million year record of Early Jurassic palaeo-environmental change from northern Germany. Newsletters on Stratigraphy"
SCH,303.5,-26.0,Psilonotenton Formation,Schandelah,"van de Schootbrugge B, Richoz S, Pross J, Luppold F, Hunze S, Wonik T, Blau J, Meister C, Weijst C van der, Suan G, Fraguas A, Fiebig J, Herrle J, Guex J, Little C, Wignall P, Püttmann W, Oschmann W (in press) The Schandelah Scientific Drilling Project: A 25-million year record of Early Jurassic palaeo-environmental change from northern Germany. Newsletters on Stratigraphy"
